Kt*_C_A_Cha,ΔKt*_C_A_Cha,Kt*_Cy_A_Cha,ΔKt*_Cy_A_Cha,Kt*_I_A_Cha,ΔKt*_I_A_Cha,Kt*_AD_A_Cha,ΔKt*_AD_A_Cha
0.9838,0.0220,0.5645,-0.2646,0.7734,0.2115,0.9838,0.0220
0.9853,-0.0146,0.7193,0.1413,0.2438,0.1232,0.9853,-0.0146
0.9708,-0.0035,0.8606,0.0596,0.3670,0.0979,0.9708,-0.0035
0.9672,-0.0110,0.9202,0.0841,0.4649,0.0689,0.9672,-0.0110
0.9651,0.0233,0.9150,-0.9150,0.5843,0.0415,0.9651,0.0233
0.9884,0.0018,0.7584,-0.0430,0.6258,0.0344,0.9884,0.0018
0.9902,-0.0039,0.7154,0.1210,0.6602,0.0254,0.9902,-0.0039
0.9863,0.0025,0.8364,-0.2153,0.6855,0.0246,0.9863,0.0025
0.9888,-0.0003,0.6211,0.0207,0.7102,0.0239,0.9888,-0.0003
0.9885,0.0115,0.6418,0.1960,0.7341,0.0157,0.9885,0.0115
0.9860,0.0040,0.4735,0.2308,0.7681,0.0213,0.9860,0.0040
0.9900,0.0055,0.7043,-0.7043,0.7894,0.0152,0.9900,0.0055
0.9955,-0.0184,0.8809,0.0616,0.8046,0.0114,0.9955,-0.0184
0.9771,0.0081,0.9425,-0.1554,0.8160,0.0138,0.9771,0.0081
0.9853,-0.0034,0.7871,-0.1421,0.8297,0.0131,0.9853,-0.0034
0.9819,0.0080,0.6451,-0.1124,0.8428,0.0049,0.9819,0.0080
0.9900,-0.0097,0.5327,0.2345,0.8478,0.0078,0.9900,-0.0097
0.9802,0.0036,0.7672,0.0243,0.8555,0.0056,0.9802,0.0036
0.9839,0.0026,0.7915,-0.1575,0.8611,0.0079,0.9839,0.0026
0.9865,-0.0047,0.6340,-0.1881,0.8690,0.0064,0.9865,-0.0047
0.9817,-0.0070,0.4459,-0.1872,0.8754,0.0029,0.9817,-0.0070
0.9748,0.0013,0.2586,0.2740,0.8782,0.0040,0.9748,0.0013
0.9760,-0.0054,0.5326,-0.5326,0.8822,0.0012,0.9760,-0.0054
0.9707,0.0021,0.6934,-0.6934,0.8834,0.0037,0.9707,0.0021
0.9727,-0.0093,0.8172,-0.0899,0.8871,0.0050,0.9727,-0.0093
0.9634,0.0011,0.7273,-0.4686,0.8922,-0.0022,0.9634,0.0011
0.9645,-0.9645,0.2586,0.2194,0.8900,0.0049,0.9645,-0.9645
0.2088,0.1530,0.4780,-0.4780,0.8948,-0.0055,0.2088,0.1530
0.3617,0.1466,0.7446,-0.7446,0.8893,0.0051,0.3617,0.1466
0.5083,0.0932,0.6889,-0.2987,0.8944,0.0115,0.5083,0.0932
0.6015,0.0923,0.3902,-0.1845,0.9059,0.0022,0.6015,0.0923
0.6938,0.0523,0.2057,-0.0360,0.9081,-0.0117,0.6938,0.0523
0.7461,0.0305,0.1696,0.0634,0.8964,0.0119,0.7461,0.0305
0.7766,0.0288,0.2330,0.0132,0.9083,-0.0063,0.7766,0.0288
0.8054,0.0229,0.2462,-0.0128,0.9020,0.0101,0.8054,0.0229
0.8283,0.0150,0.2334,0.0192,0.9121,0.0042,0.8283,0.0150
0.8433,0.0181,0.2526,-0.0492,0.9163,0.0058,0.8433,0.0181
0.8614,0.0242,0.2034,-0.0426,0.9220,-0.0031,0.8614,0.0242
0.8856,0.0248,0.1608,0.0032,0.9189,-0.0161,0.8856,0.0248
0.9104,0.0231,0.1641,0.0025,0.9028,-0.0040,0.9104,0.0231
0.9335,0.0038,0.1666,0.0745,0.8988,-0.0015,0.9335,0.0038
0.9373,0.0076,0.2410,0.0632,0.8973,-0.0074,0.9373,0.0076
0.9449,0.0078,0.3043,0.0433,0.8899,0.0084,0.9449,0.0078
