Kt*_C_NA_Cha,ΔKt*_C_NA_Cha,Kt*_Cy_NA_Cha,ΔKt*_Cy_NA_Cha,Kt*_I_NA_Cha,ΔKt*_I_NA_Cha,Kt*_AD_NA_Cha,ΔKt*_AD_NA_Cha
0.7906,0.0090,0.6494,-0.1678,0.3435,-0.0110,0.7906,0.0090
0.7996,0.0044,0.4817,-0.1999,0.3325,-0.0203,0.7996,0.0044
0.8040,0.0078,0.2817,-0.0601,0.3122,-0.0183,0.8040,0.0078
0.8118,-0.0472,0.2217,0.0538,0.2939,-0.0104,0.8118,-0.0472
0.7646,0.0081,0.2755,0.0316,0.2835,-0.0235,0.7646,0.0081
0.7728,-0.0053,0.3071,0.2049,0.2600,-0.0263,0.7728,-0.0053
0.7675,0.0008,0.5120,-0.0446,0.2337,-0.0267,0.7675,0.0008
0.7683,-0.0170,0.4674,0.1645,0.2071,-0.0205,0.7683,-0.0170
0.7513,0.0028,0.6319,0.2071,0.1865,-0.0227,0.7513,0.0028
0.7542,0.0146,0.8390,-0.8390,0.1638,-0.0235,0.7542,0.0146
0.7688,-0.0033,0.9487,0.0268,0.1403,-0.0037,0.7688,-0.0033
0.7655,0.0306,0.9755,-0.0486,0.1366,-0.0139,0.7655,0.0306
0.7961,0.0222,0.9268,-0.2962,0.1227,-0.1227,0.7961,0.0222
0.8183,-0.0441,0.6306,-0.2795,0.1266,0.1721,0.8183,-0.0441
0.7742,-0.0217,0.3511,-0.3511,0.2987,0.1765,0.7742,-0.0217
0.7525,0.0104,0.4400,0.0737,0.4753,0.1337,0.7525,0.0104
0.7629,0.0101,0.5137,0.3004,0.6090,0.0704,0.7629,0.0101
0.7730,-0.0194,0.8141,-0.5306,0.6793,0.0450,0.7730,-0.0194
0.7536,-0.0170,0.2835,-0.1244,0.7243,0.0427,0.7536,-0.0170
0.7365,-0.0018,0.1590,0.0424,0.7670,0.0190,0.7365,-0.0018
0.7348,0.0159,0.2014,0.2366,0.7860,0.0333,0.7348,0.0159
0.7507,0.0561,0.4380,-0.4380,0.8193,0.0132,0.7507,0.0561
0.8067,0.1395,0.4948,0.0528,0.8325,-0.0008,0.8067,0.1395
0.9462,-0.9462,0.5475,0.1110,0.8317,0.0024,0.9462,-0.9462
0.0677,0.0712,0.6586,0.2665,0.8341,0.0059,0.0677,0.0712
0.1389,0.1030,0.9251,0.0567,0.8400,0.0143,0.1389,0.1030
0.2419,0.1048,0.9818,-0.2127,0.8542,0.0156,0.2419,0.1048
0.3467,0.0786,0.7691,0.0295,0.8698,0.0103,0.3467,0.0786
0.4253,0.0485,0.7986,-0.7986,0.8801,0.0100,0.4253,0.0485
0.4738,0.0377,0.9416,-0.2946,0.8901,-0.0006,0.4738,0.0377
0.5116,0.0456,0.6470,0.0083,0.8894,0.0136,0.5116,0.0456
0.5572,0.0258,0.6553,-0.0914,0.9031,0.0094,0.5572,0.0258
0.5830,0.0367,0.5640,0.4192,0.9125,-0.0138,0.5830,0.0367
0.6197,0.0264,0.9832,-0.0933,0.8987,0.0046,0.6197,0.0264
0.6461,0.0192,0.8899,0.0838,0.9034,-0.0020,0.6461,0.0192
0.6653,0.0153,0.9737,-0.0046,0.9014,-0.0318,0.6653,0.0153
0.6806,0.0193,0.9691,-0.2111,0.8696,0.0464,0.6806,0.0193
0.6999,0.0097,0.7580,-0.2268,0.9160,0.0057,0.6999,0.0097
0.7096,0.0046,0.5312,0.2126,0.9217,-0.1490,0.7096,0.0046
0.7142,0.0273,0.7438,0.1690,0.7727,-0.3390,0.7142,0.0273
0.7414,0.0224,0.9128,-0.5050,0.4337,0.4603,0.7414,0.0224
0.7639,0.0179,0.4077,-0.1843,0.8940,-0.3895,0.7639,0.0179
0.7818,0.0015,0.2234,0.0157,0.5044,0.4889,0.7818,0.0015
0.7833,0.0059,0.2391,0.1489,0.9933,-0.2770,0.7833,0.0059
0.7892,-0.0035,0.3880,0.1271,0.7163,0.1255,0.7892,-0.0035
0.7856,0.0063,0.5150,0.1881,0.8418,0.0640,0.7856,0.0063
0.7919,0.0226,0.7031,-0.5328,0.9058,-0.1035,0.7919,0.0226
0.8145,0.0079,0.1703,-0.0509,0.8023,0.0127,0.8145,0.0079
0.8224,0.0093,0.1194,0.0380,0.8150,-0.2989,0.8224,0.0093
0.8317,0.0028,0.1574,-0.0206,0.5161,-0.0933,0.8317,0.0028
0.8346,0.0171,0.1368,-0.0785,0.4228,-0.1754,0.8346,0.0171
