Time,GHI_1_Jun_Pe,GHI_2_Jun_Pe,GHI_3_Jun_Pe,GHI_4_Jun_Pe,GHI_5_Jun_Pe,GHI_6_Jun_Pe,GHI_7_Jun_Pe,GHI_8_Jun_Pe,GHI_9_Jun_Pe,GHI_10_Jun_Pe,GHI_11_Jun_Pe,GHI_12_Jun_Pe,GHI_13_Jun_Pe,GHI_14_Jun_Pe,GHI_15_Jun_Pe,GHI_16_Jun_Pe,GHI_17_Jun_Pe,GHI_18_Jun_Pe,GHI_19_Jun_Pe,GHI_20_Jun_Pe,GHI_21_Jun_Pe,GHI_22_Jun_Pe,GHI_23_Jun_Pe,GHI_24_Jun_Pe,GHI_25_Jun_Pe,GHI_26_Jun_Pe,GHI_27_Jun_Pe,GHI_28_Jun_Pe,GHI_29_Jun_Pe,GHI_30_Jun_Pe
7:40:00,218.9,244.2,230.3,240.9,241.2,95.9,227.2,221.6,188.3,88.5,68.4,47.5,236.3,217.9,219.5,57.9,61.4,62.8,80.7,126.3,62.9,104.1,222.1,224,240.5,217.6,178.3,156.3,21.7,189.3
7:50:00,257.6,293.5,254.8,274.7,272.8,93.8,256.2,253.1,189.7,224.2,98.5,60.9,268.2,248.8,249.3,68,94,33.8,97.8,215.4,73.5,182.1,254.1,256,188.1,248.8,77.1,227.7,22.8,218.9
8:00:00,344.1,304.4,304.6,304.6,304,138.8,287.2,283.9,231,232.2,105.5,81.2,299.1,280.1,279.4,76.5,119.6,79.8,111.2,145.4,90.6,394,286.3,287.8,236.7,280.5,70,220.7,37.7,249.8
8:10:00,321.8,314.7,337.9,336.1,334.2,97.6,315.6,315.1,286.4,273.9,105.8,87.9,330.4,310.7,309.6,232.1,110.3,184.4,216,121.4,109.4,373.5,317.9,319,296.3,311.5,91.8,264.6,48.8,280.9
8:20:00,343.2,367.5,368.2,367.2,363.8,117.7,348.6,345.5,351.2,128.9,374.5,109.2,360.3,340.4,339.3,300.3,119.1,167.5,143.2,133.8,111.5,356.7,348.8,349,348.3,341.1,144,308.4,54.7,312.2
8:30:00,370.5,301.4,380.1,395.9,393.5,177.9,375,375.5,356.2,290.9,418.5,129,388.7,370,367,272.3,167.8,157.9,166.7,251.2,111.7,378.8,379.3,378.6,378.3,370,138.5,308.8,60.6,340.6
8:40:00,399.4,469.5,400.7,423.3,421.9,333.3,405.4,403.7,407.8,370.5,292.9,145.6,416.8,398.3,395.1,330.2,141.5,174.9,199,554.9,122.6,407,410.9,407,407.3,398.8,177.7,350,73.1,367.5
8:50:00,427.6,425.3,404.3,449.9,449,443.3,432,430,440.6,405.1,512.7,178.7,445.4,425.3,422.5,419.3,171.7,85.4,233.3,360.8,142.6,434.1,296.7,434.6,434.3,429.7,150.6,348.1,84.2,391.9
9:00:00,457,483,442.7,477.8,474.9,416.5,457.6,456,464.1,434.9,315.8,211.5,471.4,452,449.3,486,384.5,103.1,297.9,190.7,187.6,460.1,465.4,461,460.4,472.4,213.5,371.5,130.9,415.9
9:10:00,481.7,497,496,503.1,499.3,467.3,482.4,480.8,491.3,457.6,317.1,216.7,497.3,476.2,474.6,168.6,415.6,118.2,295.9,208.8,238,485,488.6,487,486.7,490,227.6,425.6,180.2,443.9
9:20:00,500.4,491.3,435.8,525.7,522.9,374.5,508.2,503.4,515.1,461.3,514.1,221.9,522.2,499,498.7,263.6,401.8,237.8,260,277.9,251.4,508.2,512.3,510.6,511,363.3,237.1,347.4,178.8,468.2
9:30:00,525.3,570.2,529.6,546.7,544.2,293.1,532.5,527.5,535.4,491.3,375.5,262.5,543.4,521.4,519.7,398.8,470.1,439.7,248.3,362.5,254.3,531.1,535.4,533.6,532.9,570.2,440,427.1,156.4,492.6
9:40:00,550.8,558.7,548.2,567.5,565.2,352.4,550.1,549.3,556.5,502.4,286.8,313.6,566,542.7,542.3,299.9,322.9,339.7,281.4,551.2,323.6,553.1,558.3,554.6,553.1,454.5,314.1,340.9,125.8,514.4
9:50:00,569.8,556.5,491.6,586.2,584.2,408.4,569,570.2,574.1,537.6,409.8,345.8,585,561.8,561.4,448.1,303,350.7,370.2,584.6,367.2,573.3,579.5,575.6,573.7,597.8,318.3,524.3,104.9,534.3
10:00:00,584.6,637.6,544.2,605.2,602.7,261.6,587,589.8,592.2,564.8,500.7,353.1,602.7,579.9,579.1,531.8,240.1,466.7,343,598.7,455.7,590.6,597.4,595,592.6,536.5,596.6,586.2,125.3,555.7
10:10:00,597.4,615.9,623.5,621.8,618.8,172.8,602.3,605.2,610.9,562.9,434.3,350,619.3,595.8,595.4,613.4,428.8,666.7,339,620.1,434.6,608.5,615.1,611.8,610.1,612.6,651.5,521.4,101.8,576.8
10:20:00,612.6,627.7,629.8,636.7,633.7,203.4,617.6,619.3,625.2,589.4,392.1,390.3,633.3,610.5,611.4,554.9,638.9,607.6,309.8,660.4,421.3,623.1,628.6,626.4,625.6,606.4,576.4,412.6,154.3,578.3
10:30:00,625.6,641.5,649.8,650.2,646.2,112.4,636.3,633.7,638.9,578.3,610.1,402.1,644.1,623.5,624.7,573.7,691.5,543.1,273.6,433.2,513.7,635.8,642.8,640.6,639.3,655.5,625.2,502.7,408.1,603.1
10:40:00,637.6,651.5,661.7,663.1,659.9,257.7,665.3,646.7,651.5,579.1,566.7,448.7,657.3,634.5,635,581.9,435.5,648.4,322.9,615.9,457.9,648,655.1,652,652,518.6,625.6,590.6,519.3,613.8
