Kt*_C_A_Nzi,ΔKt*_C_A_Nzi,Kt*_Cy_A_Nzi,ΔKt*_Cy_A_Nzi,Kt*_I_A_Nzi,ΔKt*_I_A_Nzi,Kt*_AD_A_Nzi,ΔKt*_AD_A_Nzi
0.9879,-0.0026,0.1209,-0.0234,0.9854,-0.0881,0.9879,-0.0026
0.9853,-0.0026,0.0975,-0.0548,0.8973,-0.8973,0.9853,-0.0026
0.9251,0.0116,0.4516,0.0553,0.9998,-0.0065,0.9251,0.0116
0.9367,0.0085,0.5069,0.4124,0.9933,0.0008,0.9367,0.0085
0.9451,-0.0027,0.9193,0.0249,0.9941,0.0028,0.9451,-0.0027
0.9425,0.0097,0.9442,0.0322,0.9969,0.0009,0.9425,0.0097
0.9521,0.0020,0.9764,-0.0274,0.9978,-0.0993,0.9521,0.0020
0.9542,-0.0015,0.9490,-0.1750,0.8985,-0.0160,0.9542,-0.0015
0.9527,-0.0091,0.7741,0.2188,0.8825,0.0753,0.9527,-0.0091
0.9436,-0.0109,0.9929,-0.0118,0.9579,-0.1405,0.9436,-0.0109
0.9326,-0.0089,0.9811,-0.0067,0.8174,0.1604,0.9326,-0.0089
0.9237,-0.0068,0.9744,0.0250,0.9777,-0.2405,0.9237,-0.0068
0.9169,-0.0194,0.9994,-0.0289,0.7373,0.1140,0.9169,-0.0194
0.8975,-0.0168,0.9705,0.0032,0.8513,0.1494,0.8975,-0.0168
0.8662,-0.0375,0.9645,-0.0031,0.6898,0.1919,0.8662,-0.0375
0.8287,-0.0632,0.9614,-0.0031,0.8818,-0.0820,0.8287,-0.0632
0.7655,-0.0680,0.9583,0.0041,0.7997,0.0727,0.7655,-0.0680
0.6975,-0.1327,0.9624,0.0267,0.8724,-0.0870,0.6975,-0.1327
0.5648,-0.1248,0.9891,-0.0952,0.7854,-0.1487,0.5648,-0.1248
0.4400,-0.1379,0.8939,-0.2578,0.6367,-0.1798,0.4400,-0.1379
0.3021,-0.1236,0.6361,-0.6361,0.4570,-0.0209,0.3021,-0.1236
0.1785,-0.0402,0.9699,-0.9699,0.4360,-0.0440,0.1785,-0.0402
0.1382,-0.1382,0.9362,-0.9362,0.3920,-0.0985,0.1382,-0.1382
0.9994,-0.0036,0.3579,0.0415,0.1111,-0.0408,0.9994,-0.0036
0.9958,-0.0008,0.3994,0.0160,0.0703,-0.0703,0.9958,-0.0008
0.9949,-0.0041,0.4155,0.0973,0.9995,-0.0111,0.9949,-0.0041
0.9909,-0.0059,0.5128,0.1588,0.9884,0.0196,0.9909,-0.0059
0.9771,0.0030,0.4025,0.3978,0.9998,-0.0114,0.9771,0.0030
0.9801,0.0097,0.8003,-0.8003,0.9884,0.0019,0.9801,0.0097
0.9898,-0.0069,0.8010,0.0890,0.9903,-0.0048,0.9898,-0.0069
0.9829,-0.0154,0.8901,-0.3128,0.9855,-0.0066,0.9829,-0.0154
0.9675,-0.0189,0.5773,0.0181,0.9790,-0.0049,0.9675,-0.0189
0.9486,-0.0244,0.5954,-0.3501,0.9741,-0.0064,0.9486,-0.0244
0.9242,-0.0259,0.2453,0.0463,0.9677,-0.0007,0.9242,-0.0259
0.8983,-0.0343,0.2916,0.2354,0.9670,-0.0153,0.8983,-0.0343
0.8641,-0.0508,0.5271,0.1180,0.9518,0.0026,0.8641,-0.0508
0.8133,-0.1401,0.6451,-0.0800,0.9544,-0.0055,0.8133,-0.1401
0.6732,-0.2125,0.5651,-0.2436,0.9488,-0.0078,0.6732,-0.2125
