Time,GHI_1_Feb_MPT_1,GHI_2_Feb_MPT_1,GHI_3_Feb_MPT_1,GHI_4_Feb_MPT_1,GHI_5_Feb_MPT_1,GHI_6_Feb_MPT_1,GHI_7_Feb_MPT_1,GHI_8_Feb_MPT_1,GHI_9_Feb_MPT_1,GHI_10_Feb_MPT_1,GHI_11_Feb_MPT_1,GHI_12_Feb_MPT_1,GHI_13_Feb_MPT_1,GHI_14_Feb_MPT_1,GHI_15_Feb_MPT_1,GHI_16_Feb_MPT_1,GHI_17_Feb_MPT_1,GHI_18_Feb_MPT_1,GHI_19_Feb_MPT_1,GHI_20_Feb_MPT_1,GHI_21_Feb_MPT_1,GHI_22_Feb_MPT_1,GHI_23_Feb_MPT_1,GHI_24_Feb_MPT_1,GHI_25_Feb_MPT_1,GHI_26_Feb_MPT_1,GHI_27_Feb_MPT_1,GHI_28_Feb_MPT_1,GHI_29_Feb_MPT_1
6:34:00,153.2834,75.4442,93.4071,125.7403,246.6904,,,246.6904,147.2958,114.9625,,,,,62.5397,141.0470,134.3938,147.2958,-1.3306,-2.6613,63.8703,,,,119.7568,99.7974,,55.8865,23.9514
6:35:00,156.8760,77.8392,89.8145,128.1353,240.7028,,,240.7028,147.2958,119.7526,,,,,63.8703,143.7082,137.0551,147.2958,15.9676,-2.6613,65.2010,,,,123.7487,95.8055,,58.5478,21.2901
6:36:00,160.4685,79.0367,89.8145,126.9378,251.4805,,,251.4805,155.6784,122.1477,,,,,65.2010,147.7001,138.3857,155.6784,15.9676,-2.6613,65.2010,,,,126.4100,99.7974,,58.5478,18.6288
6:37:00,164.0611,80.2343,88.6170,119.7526,198.7894,,,198.7894,160.4685,123.3452,,,,,67.8622,150.3614,142.3776,160.4685,14.6370,-2.6613,65.2010,,,,129.0713,105.1199,,61.2091,15.9676
6:38:00,166.4562,80.2343,91.0120,113.7650,214.3572,,,214.3572,165.2586,126.9378,,,,,70.5235,153.0226,147.7001,165.2586,15.9676,-2.6613,66.5316,,,,131.7325,115.7650,,59.8784,17.2982
6:39:00,172.4438,81.4318,94.6046,108.9749,152.0859,,,152.0859,166.4562,130.5304,,,,,73.1847,157.0145,149.0308,166.4562,17.2982,18.6288,66.5316,,,,134.3938,127.7406,,62.5397,19.9595
6:40:00,176.0364,81.4318,95.8021,110.1724,134.1230,,,134.1230,172.4438,132.9254,,,,,71.8541,161.0064,151.6920,172.4438,19.9595,26.6126,69.1928,,,,137.0551,147.7001,,75.8460,22.6207
6:41:00,177.2339,82.6293,89.8145,117.3576,199.9869,,,199.9869,176.0364,136.5180,,,,,69.1928,163.6677,155.6839,176.0364,21.2901,31.9352,69.1928,,,,139.7163,184.9578,,67.8622,23.9514
6:42:00,178.4314,85.0244,83.8268,132.9254,208.3696,,,208.3696,177.2339,140.1106,,,,,63.8703,167.6596,158.3452,177.2339,21.2901,37.2577,71.8541,,,,142.3776,196.9335,,70.5235,26.6126
6:43:00,180.8265,88.6170,81.4318,152.0859,192.8017,,,192.8017,182.0240,142.5056,,,,,61.2091,172.9821,163.6677,182.0240,21.2901,41.2496,73.1847,,,,146.3695,202.2560,,79.8379,26.6126
