Time,GHI_1_Jun_Ndza,GHI_2_Jun_Ndza,GHI_3_Jun_Ndza,GHI_4_Jun_Ndza,GHI_5_Jun_Ndza,GHI_6_Jun_Ndza,GHI_7_Jun_Ndza,GHI_8_Jun_Ndza,GHI_9_Jun_Ndza,GHI_10_Jun_Ndza,GHI_11_Jun_Ndza,GHI_12_Jun_Ndza,GHI_13_Jun_Ndza,GHI_14_Jun_Ndza,GHI_15_Jun_Ndza,GHI_16_Jun_Ndza,GHI_17_Jun_Ndza,GHI_18_Jun_Ndza,GHI_19_Jun_Ndza,GHI_20_Jun_Ndza,GHI_21_Jun_Ndza,GHI_22_Jun_Ndza,GHI_23_Jun_Ndza,GHI_24_Jun_Ndza,GHI_25_Jun_Ndza,GHI_26_Jun_Ndza,GHI_27_Jun_Ndza,GHI_28_Jun_Ndza,GHI_29_Jun_Ndza,GHI_30_Jun_Ndza,,,,,,,,,,,,
7:50:00,75,92.1,152.3,105.9,268.1,67.8,241.7,260,252.8,200.9,205.1,55.7,266.3,127.4,243,243.4,187.1,219.9,260.6,200.5,254.5,258.1,172.5,243.7,257.2,253.1,55.4,194.1,50.2,221.6,,,,,,,,,,,,
8:00:00,89.9,98.3,146.5,119.6,299.8,78.4,273.8,292.2,283.8,252.2,217.3,58.7,297.7,146.8,271.4,275.6,197.2,133.2,292.3,236.4,285.9,288.2,264.7,294.7,288,288.8,74.7,226,53.9,251.9,,,,,,,,,,,,
8:10:00,93.1,93.2,218.4,155.6,331.4,92.6,305.7,323.6,315.4,274,331.8,203,329.1,167.7,302.8,308.6,196.8,147.1,325.1,301.2,316.2,318.8,313.2,204.1,318.6,321.6,87.8,253.3,70.8,290.2,,,,,,,,,,,,
8:20:00,107.4,86.2,239.1,173.2,327.3,101.8,310.1,323.4,315.8,293.7,312.2,230.1,324.5,156.1,306.1,310.3,216.2,211.7,328.4,313.9,312.8,314.5,315.8,257.6,311.3,317.9,108.2,268.1,77.3,292.5,,,,,,,,,,,,
8:30:00,116,105.3,395.1,323.6,391.1,117.5,367.5,383.8,376.8,335.9,344.9,332.5,388.7,210.8,365.8,373,251.7,291.8,396.2,377.3,376.3,378.6,344.4,449,377.8,405.1,93.9,239.3,75.2,341.1,,,,,,,,,,,,
8:40:00,119.8,160.5,425.4,300,419.6,134.9,397.3,413.4,405.4,371,339.5,406,416.5,230.2,395.4,402.4,340,370.5,416,405.4,405.1,407.6,327.6,536.5,406.2,473.4,100.1,180.7,70.1,371,,,,,,,,,,,,
8:50:00,124.1,154.9,446.9,239.9,446.9,119.3,423.9,441.2,431.2,396.2,564.1,283.4,443.6,289.4,423.6,430.9,407.9,365.8,442.1,432.3,431.8,435,419.1,348.1,433.5,458.6,124.2,207.7,83.6,396.7,,,,,,,,,,,,
9:00:00,155.9,159.1,482.4,246,474,123.6,451.2,468,458.2,427.7,473.7,262.5,470.8,329.6,451.2,459.8,435.9,461.7,468.3,459.8,459.2,462.6,434.7,394.8,461,375.3,129.1,223.5,99.9,422.5,,,,,,,,,,,,
9:10:00,155.5,166.3,478.2,510.3,499.7,151.8,476.3,493.3,483.7,454.2,424.8,536.9,495.7,443,476.6,484.4,481.1,295.7,493,485.4,484.7,488,451.8,354.6,486.4,216.8,162.5,249.7,133.2,447.2,,,,,,,,,,,,
9:20:00,185.3,211.4,493,554.3,523.6,162.2,500.4,516.6,508.6,365.5,330.5,564.5,519,508.6,500.4,506.5,507.6,291.4,517.3,509.6,508.3,512.1,479.8,339.8,510.3,393,152.3,254.8,394.3,470.8,,,,,,,,,,,,
9:30:00,207.4,289.4,547.2,515.5,546.4,171.6,522.6,539.1,531.1,460.4,456.4,613.9,541.3,533.3,520.8,527.2,529,362.3,540.5,532.2,530.8,535.4,506.2,340.4,533.3,533.6,179,279.6,383.5,493.7,,,,,,,,,,,,
9:40:00,228.7,527.9,566,489.7,567.9,125.5,543.5,560.7,551.6,429.4,453.3,366.8,562.6,552.8,542.7,548.3,550.9,503.1,562.2,552.8,552,556.9,530.4,378.9,554.6,553.9,226.2,340,266.8,516.9,,,,,,,,,,,,
9:50:00,266.3,524.7,585.1,583.1,587.1,145,563,580.4,571,449,483.4,539.1,581.9,572.6,561.8,567.9,571,590.7,583.5,572.2,570.6,576.4,552.8,598.7,574.1,564.5,141.3,384.3,289.6,537.3,,,,,,,,,,,,
10:00:00,238.6,580.4,604,596.3,604.4,150.3,580,598.7,588.7,605.2,550.9,642.4,599.9,591.5,580,590.3,589.1,594.7,599.1,589.9,588.3,594.3,569.5,553.9,591.1,593.9,224.5,420.2,420.5,556.5,,,,,,,,,,,,
10:10:00,211.4,629.5,620.2,615.2,619.7,245.5,596.7,614.7,604.8,340.2,422.8,629,615.2,608.1,596.3,608.1,603.2,607.7,615.6,606.5,604,611.4,587.9,600.7,608.1,612.7,278.6,425.4,351.7,573.3,,,,,,,,,,,,
10:20:00,181,640.6,634.2,628.2,634.6,259.9,611.8,628.6,618.5,229,556.5,644.1,630.8,623.1,612.7,625.2,618.1,622.7,629.5,621.4,618.9,626.1,603.6,633.7,622.7,627.3,208.8,583.1,512.7,589.1,,,,,,,,,,,,
10:30:00,203,653.8,647.6,639.3,647.2,330.2,624.4,641.5,629.9,375.8,502.4,654.2,644.6,637.6,625.6,634.2,632.9,638.1,643.7,580.8,631.6,627.3,593.5,636.3,637.2,639.3,269.7,456.7,211.1,605.6,,,,,,,,,,,,
10:40:00,144.5,651.6,659.6,650.3,658.7,325.6,635.9,656,642,339.5,513.4,664,656,650.7,637.2,647.2,644.6,654.2,655.1,647.2,643.7,653.8,620.6,679,649.4,652.5,300.2,518.3,203.3,618.1,,,,,,,,,,,,
10:50:00,149.5,673.6,668.6,658.7,668.6,243,644.6,665.8,652,604.4,593.5,672.6,665.8,661.8,645.9,656.9,654.7,651.6,666.8,660,652.9,665.4,638.5,537.3,658.7,633.7,636.8,503.1,207.6,628.2,,,,,,,,,,,,
11:00:00,303.4,683.7,676.8,671.7,676.8,249.7,655.1,674,660,629,588.3,680.9,674.9,670.4,654.2,669,670.4,706.2,673.6,687.8,665.8,701.5,667.7,254.8,670.8,540.5,616.8,503.5,261.6,637.6,,,,,,,,,,,,
11:10:00,249.2,689.2,685.1,677.2,683.7,214,660,680.9,668.1,626.9,555,687.8,682.7,677.7,661.4,676.3,715.9,811.4,680,727.1,694.9,713,329.6,814.1,645.4,507.6,626.1,556.1,449.3,642.8,,,,,,,,,,,,
11:20:00,235.1,693.4,690.2,682.7,690.2,180.3,666.8,685.1,672.6,650.3,726.1,692,687.4,683.2,665.8,647.6,607.7,288.2,685.1,554.6,698.2,647.6,640.6,756.7,686.9,682.3,518.7,616,406.8,649.8,,,,,,,,,,,,
11:30:00,268.1,695.3,693,685.1,692,158.1,669.5,688.3,674.5,526.8,801.5,696.3,690.2,686.9,668.6,688.8,634.6,686.4,686.9,324,564.5,689.2,686,731.5,688.8,691.6,281.3,369.8,376.1,653.3,,,,,,,,,,,,
11:40:00,318.8,696.7,693.9,686.4,693.4,202.4,669,690.2,674.5,564.9,399.7,696.3,691.6,688.8,670.4,645,738,845.6,691.1,178.6,727.6,686.9,685.1,666.8,686.4,688.3,687.8,142.4,433.8,655.1,,,,,,,,,,,,
