Kt*_C_NA_Nzi,ΔKt*_C_NA_Nzi,Kt*_Cy_NA_Nzi,ΔKt*_Cy_NA_Nzi,Kt*_I_NA_Nzi,ΔKt*_I_NA_Nzi,Kt*_AD_NA_Nzi,ΔKt*_AD_NA_Nzi
0.6616,-0.0856,0.0449,0.0062,0.2878,-0.0240,0.6616,-0.0856
0.5760,-0.0339,0.0511,0.0108,0.2638,0.0146,0.5760,-0.0339
0.5421,0.0590,0.0619,0.0113,0.2784,-0.0259,0.5421,0.0590
0.6012,-0.0284,0.0732,0.0283,0.2525,0.0272,0.6012,-0.0284
0.5727,0.0528,0.1015,0.0587,0.2797,0.0417,0.5727,0.0528
0.6255,-0.0316,0.1603,0.1153,0.3214,0.0793,0.6255,-0.0316
0.5939,0.0592,0.2756,0.3047,0.4007,0.1327,0.5939,0.0592
0.6531,0.0188,0.5803,-0.2640,0.5334,-0.0020,0.6531,0.0188
0.6718,-0.0488,0.3162,-0.1675,0.5314,0.0949,0.6718,-0.0488
0.6230,-0.0632,0.1488,-0.0448,0.6262,-0.1614,0.6230,-0.0632
0.5598,-0.1176,0.1039,-0.0024,0.4649,-0.1109,0.5598,-0.1176
0.4422,0.0681,0.1015,-0.0002,0.3539,-0.0711,0.4422,0.0681
0.5103,-0.1167,0.1013,-0.0179,0.2828,0.0043,0.5103,-0.1167
0.3936,-0.0533,0.0834,0.0060,0.2872,0.0156,0.3936,-0.0533
0.3403,-0.1031,0.0894,0.0103,0.3028,-0.0548,0.3403,-0.1031
0.2372,0.0798,0.0997,-0.0069,0.2480,-0.0071,0.2372,0.0798
0.3170,0.0528,0.0928,-0.0133,0.2409,0.0225,0.3170,0.0528
0.3698,0.0726,0.0795,-0.0035,0.2633,-0.0467,0.3698,0.0726
0.4424,0.0009,0.0760,0.0000,0.2167,-0.0365,0.4424,0.0009
0.4433,-0.0730,0.0760,0.0223,0.1802,0.0061,0.4433,-0.0730
0.3702,-0.0725,0.0983,0.0468,0.1863,-0.0107,0.3702,-0.0725
0.2977,-0.0965,0.1451,0.0216,0.1756,-0.0418,0.2977,-0.0965
0.2012,-0.0359,0.1667,-0.1051,0.1338,-0.0332,0.2012,-0.0359
0.1653,-0.0441,0.0616,0.0338,0.1007,-0.0343,0.1653,-0.0441
0.1212,-0.0096,0.0955,0.0177,0.0664,-0.0664,0.1212,-0.0096
0.1116,-0.0664,0.1132,0.0243,0.0994,-0.0006,0.1116,-0.0664
0.0452,-0.0452,0.1375,0.0040,0.0989,0.0064,0.0452,-0.0452
0.7768,0.0544,0.1415,0.0251,0.1053,0.0211,0.7768,0.0544
0.8313,-0.1926,0.1666,0.0085,0.1264,-0.0097,0.8313,-0.1926
0.6386,0.0288,0.1751,0.0032,0.1166,0.0374,0.6386,0.0288
0.6674,0.0289,0.1783,0.0126,0.1540,0.0560,0.6674,0.0289
0.6964,0.1754,0.1909,0.0508,0.2101,0.1407,0.6964,0.1754
0.8718,-0.2221,0.2417,0.1412,0.3508,0.0311,0.8718,-0.2221
0.6497,0.0421,0.3830,0.1274,0.3819,0.1529,0.6497,0.0421
0.6918,-0.1508,0.5104,-0.0620,0.5348,0.0042,0.6918,-0.1508
0.5410,0.2704,0.4483,-0.0714,0.5390,0.0851,0.5410,0.2704
0.8114,-0.0104,0.3770,-0.0563,0.6241,-0.0707,0.8114,-0.0104
0.8010,0.0619,0.3206,-0.0508,0.5535,0.0965,0.8010,0.0619
0.8629,-0.0498,0.2698,-0.0774,0.6500,-0.1127,0.8629,-0.0498
0.8131,-0.8131,0.1924,-0.0798,0.5372,-0.0378,0.8131,-0.8131
0.9103,-0.9103,0.1127,-0.0626,0.4994,0.1084,0.9103,-0.9103
0.9611,-0.0398,0.0501,0.0019,0.6079,-0.2115,0.9611,-0.0398
0.9213,0.0736,0.0520,0.0175,0.3964,-0.0397,0.9213,0.0736
0.9191,0.0483,0.0696,-0.0068,0.2386,0.0324,0.9191,0.0483
0.9673,-0.0140,0.0628,-0.0233,0.2709,0.0258,0.9673,-0.0140
0.9534,-0.9534,0.2751,-0.0193,0.2968,-0.0835,0.9534,-0.9534
0.9373,-0.9373,0.2558,-0.1279,0.2133,0.0061,0.9373,-0.9373
0.9838,-0.1840,0.1279,0.0681,0.2194,0.1570,0.9838,-0.1840
0.7998,-0.0316,0.1960,0.0089,0.3763,0.0419,0.7998,-0.0316
0.7682,-0.3195,0.2049,-0.0846,0.4182,0.1533,0.7682,-0.3195
